line_no,p,B_size,B,trace_depth,state_label,span,i,j,initial_E,initial_P,initial_L,status,escape_depth,path,final_E,final_P,final_L,final_phi,nodes,best_phi,best_depth
7266,31,6,1 10 16 19 20 25,3,after_2,20,4,24,1,1,20,escaped,1,"(0,1,22)",1,1,19,"(1, 1, 19)",1,"(1, 1, 19)",1
7269,31,6,1 9 10 17 20 25,2,after_1,10,9,19,1,1,10,escaped,1,"(6,1,9)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7270,31,6,1 10 17 20 25 27,3,after_2,21,3,24,1,1,21,escaped,1,"(0,1,21)",1,1,4,"(1, 1, 4)",1,"(1, 1, 4)",1
7271,31,6,1 10 17 19 20 25,3,after_2,10,4,14,1,1,10,escaped,1,"(5,1,3)",1,1,6,"(1, 1, 6)",1,"(1, 1, 6)",1
7273,31,6,1 10 16 17 20 25,2,after_1,5,19,24,1,1,5,escaped,1,"(18,1,19)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7275,31,6,1 3 10 25 27 29,2,after_1,8,9,17,1,1,8,escaped,1,"(7,1,9)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7276,31,6,1 9 10 25 27 29,2,after_1,11,5,16,1,1,11,escaped,1,"(4,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7280,31,6,1 3 10 25 26 29,2,after_1,11,3,14,1,1,11,escaped,1,"(2,1,3)",1,1,8,"(1, 1, 8)",1,"(1, 1, 8)",1
7281,31,6,1 9 10 25 26 29,2,after_1,13,10,23,1,1,13,escaped,1,"(4,1,11)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
7282,31,6,1 10 25 26 27 29,2,after_1,9,2,11,1,1,9,escaped,1,"(8,1,1)",1,1,5,"(1, 1, 5)",1,"(1, 1, 5)",1
7285,31,6,1 9 10 16 25 29,2,after_1,12,2,14,1,1,12,escaped,1,"(5,1,0)",1,1,10,"(1, 1, 10)",1,"(1, 1, 10)",1
7287,31,6,1 10 16 19 25 29,2,after_1,3,9,12,1,1,3,escaped,1,"(10,1,7)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7290,31,6,1 9 10 17 25 29,2,after_1,22,1,23,1,1,22,escaped,1,"(0,1,1)",1,1,12,"(1, 1, 12)",1,"(1, 1, 12)",1
7294,31,6,1 10 16 17 25 29,2,after_1,12,2,14,1,1,12,escaped,1,"(1,1,2)",1,1,2,"(1, 1, 2)",1,"(1, 1, 2)",1
7295,31,6,1 3 10 20 25 29,2,after_1,19,1,20,1,1,19,escaped,1,"(0,1,1)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7300,31,6,1 10 16 20 25 29,2,after_1,9,9,18,1,1,9,escaped,1,"(7,1,9)",1,1,3,"(1, 1, 3)",1,"(1, 1, 3)",1
7301,31,6,1 10 17 20 25 29,2,after_1,15,5,20,1,1,15,escaped,1,"(3,1,5)",1,1,14,"(1, 1, 14)",1,"(1, 1, 14)",1
7311,31,6,1 10 13 19 26 27,2,after_1,9,10,19,1,1,9,escaped,1,"(7,1,10)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7315,31,6,1 3 10 13 16 19,3,after_2,3,8,11,1,1,3,escaped,1,"(7,1,8)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7325,31,6,1 3 10 13 17 19,3,after_2,7,5,12,1,1,7,escaped,1,"(2,1,5)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
7326,31,6,1 9 10 13 17 19,3,after_2,9,10,19,1,1,9,escaped,1,"(8,1,10)",0,0,0,"(0, 0, 0)",1,"(0, 0, 0)",1
